변환,원자료,원자료,원자료,원자료
"2007/01","4.50","4.750","4.970","0.517"
"2007/02","4.50","4.750","4.910","0.462"
"2007/03","4.50","4.750","4.790","0.402"
"2007/04","4.50","4.950","4.940","0.347"
"2007/05","4.50","4.950","5.100","0.342"
"2007/06","4.50","4.950","5.240","0.378"
"2007/07","4.75","5.010","5.350","0.405"
"2007/08","5.00","5.010","5.280","0.474"
"2007/09","5.00","5.010","5.390","0.515"
"2007/10","5.00","5.270","5.420","0.605"
"2007/11","5.00","5.270","5.540","0.656"
"2007/12","5.00","5.270","5.890","0.627"
"2008/01","5.00","5.300","5.440","0.532"
"2008/02","5.00","5.300","5.060","0.591"
"2008/03","5.00","5.300","5.150","0.703"
"2008/04","5.00","5.080","4.980","0.777"
"2008/05","5.00","5.080","5.280","0.715"
"2008/06","5.00","5.080","5.700","0.664"
"2008/07","5.00","5.230","5.960","0.597"
"2008/08","5.25","5.230","5.770","0.586"
"2008/09","5.25","5.230","5.810","0.398"
"2008/10","4.25","5.450","5.090","-0.242"
"2008/11","4.00","5.450","4.970","-2.721"
"2008/12","3.00","5.450","3.970","-3.487"
"2009/01","2.50","3.430","3.440","-0.914"
"2009/02","2.00","3.430","3.780","-0.437"
"2009/03","2.00","3.430","3.690","-0.033"
"2009/04","2.00","1.840","3.760","0.209"
"2009/05","2.00","1.840","3.830","0.204"
"2009/06","2.00","1.840","4.090","0.263"
"2009/07","2.00","2.250","4.090","0.276"
"2009/08","2.00","2.250","4.420","0.631"
"2009/09","2.00","2.250","4.400","0.387"
"2009/10","2.00","2.430","4.470","0.299"
"2009/11","2.00","2.430","4.320","0.242"
"2009/12","2.00","2.430","4.240","0.269"
"2010/01","2.00","2.410","4.290","0.247"
"2010/02","2.00","2.410","4.190","0.259"
"2010/03","2.00","2.410","3.940","0.210"
"2010/04","2.00","2.280","3.770","0.052"
"2010/05","2.00","2.280","3.700","0.004"
"2010/06","2.00","2.280","3.750","-0.032"
"2010/07","2.25","2.240","3.880","-0.065"
"2010/08","2.25","2.240","3.730","-0.053"
"2010/09","2.25","2.240","3.480","-0.134"
"2010/10","2.25","2.600","3.240","-0.133"
"2010/11","2.50","2.600","3.400","0.020"
"2010/12","2.50","2.600","3.250","0.153"
"2011/01","2.75","2.760","3.710","0.122"
"2011/02","2.75","2.760","3.940","0.122"
"2011/03","3.00","2.760","3.740","0.154"
"2011/04","3.00","3.360","3.740","0.116"
"2011/05","3.00","3.360","3.660","0.088"
"2011/06","3.25","3.360","3.650","0.074"
"2011/07","3.25","3.440","3.770","0.067"
"2011/08","3.25","3.440","3.570","0.052"
"2011/09","3.25","3.440","3.450","0.049"
"2011/10","3.25","3.400","3.470","0.043"
"2011/11","3.25","3.400","3.390","0.037"
"2011/12","3.25","3.400","3.360","0.038"
"2012/01","3.25","3.570","3.370","0.031"
"2012/02","3.25","3.570","3.430","0.045"
"2012/03","3.25","3.570","3.550","0.098"
"2012/04","3.25","3.580","3.500","0.104"
"2012/05","3.25","3.580","3.380","0.094"
"2012/06","3.25","3.580","3.290","0.058"
"2012/07","3.00","3.390","3.010","-0.032"
"2012/08","3.00","3.390","2.830","-0.057"
"2012/09","3.00","3.390","2.810","-0.055"
"2012/10","2.75","2.960","2.780","0.011"
"2012/11","2.75","2.960","2.800","0.031"
"2012/12","2.75","2.960","2.850","0.050"
"2013/01","2.75","2.890","2.750","-0.058"
"2013/02","2.75","2.890","2.700","0.055"
"2013/03","2.75","2.890","2.600","0.105"
"2013/04","2.75","2.700","2.550","0.157"
"2013/05","2.50","2.700","2.590","0.152"
"2013/06","2.50","2.700","2.870","0.097"
"2013/07","2.50","2.680","2.910","-0.039"
"2013/08","2.50","2.680","2.940","-0.026"
"2013/09","2.50","2.680","2.900","0.145"
"2013/10","2.50","2.670","2.830","0.210"
"2013/11","2.50","2.670","2.936","0.213"
"2013/12","2.50","2.670","2.941","0.189"
"2014/01","2.50","2.670","2.892","0.190"
"2014/02","2.50","2.670","2.854","0.206"
"2014/03","2.50","2.670","2.874","0.291"
